Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Skin by Emely,New Quantity Skin by Emely,Stock Alert Enabled Skin by Emely,Stock Alert Count Skin by Emely
3IKRPTGZSRK56EF4Q2JYTRGM,Cacteen Balancing Moisturizer 1.7oz,,Regular,,"<p>Skin type: normal/combination</p><p><br/></p><p>This moisturizer will balance surface lipids and water with the healing properties of Prickly Pear cactus and humectants like Sodium PCA. Bisabolol soothes irritated and sensitized skin.</p><ul><li>Normalizes water/oil balance</li><li>Soothes and calms</li></ul><p><br/></p><p>Tips for use: </p><ul><li>Use a small, pea-sized amount daily morning and evening to hydrate the skin.</li><li>Apply after cleansing and exfoliating/toning the skin.</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li></ul><p><br/></p>","Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU), Moisturizers (25QTGWUHQDCYAHEXKJP7IH6F)",Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU),,,,,visible,Physical good,,,,Y,N,N,Y,31.00,,N,,N,,N,,,,,,
KGHJ6NQJ4FAANY3UJIY3FCYH,Charcoal Clay Cleanser 2oz,,Regular,,"<p>Skin type: normal to oily</p><p><br/></p><p>This cleanser is infused with charcoal and kaolin clay to absorb environmental toxins. Kaolin clay absorbs sebum, removes impurities, and helps prevent clogged pores.</p><ul><li>Provides deep cleansing</li><li>Reduces oil</li><li>Detoxifying and purifying</li></ul><p><br/></p><p>Tips for use: </p><ul><li>This is a great primary cleanser to remove oil, makeup, dirt, and debris.</li><li>This product removes easily with warm water</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p>","Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU), Cleansers (CVZC6M57CY3PFLBKNEXMEGJI)",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,visible,Physical good,,,,Y,N,N,Y,12.50,,N,,N,,N,,,,,,
Y2DN6ZZEDCAXFHJZTSDKY2CA,Charcoal Clay Cleanser 6.5oz,,Regular,,"<p>Skin type: normal to oily</p><p><br/></p><p>This cleanser is infused with charcoal and kaolin clay to absorb environmental toxins. Kaolin clay absorbs sebum, removes impurities, and helps prevent clogged pores.</p><ul><li>Provides deep cleansing</li><li>Reduces oil</li><li>Detoxifying and purifying</li></ul><p><br/></p><p>Tips for use: </p><ul><li>This is a great primary cleanser to remove oil, makeup, dirt, and debris.</li><li>This product removes easily with warm water</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p>","Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU), Cleansers (CVZC6M57CY3PFLBKNEXMEGJI)",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,visible,Physical good,,,,Y,N,N,Y,32.00,,N,,N,,N,,,,,,
KX2NX2Q5Z5GUW72IUYISGX7A,Circadia Acne Regimen Bundle,,Regular,,<p><strong>Contents:</strong></p><p>1 – Mandelic Acid Cleansing Gel 2oz.</p><p>1 – Spot Stop 0.5oz.</p><p>1 – White Willow &amp; Juniper 4oz.</p><p>1 – Daytime Control 2oz.</p><p>1 – Blue Zipper Retail Bag</p>,Skincare Bundles,Skincare Bundles,,,,,unavailable,Physical good,,,,Y,,N,N,80.00,,Y,,,,N,,,,,,
JAOPP2CI4L7XIWQ7ACAVV23D,Circadia Aloe & Calendula Calming Mist 4 oz,,Regular,,"A soothing blend of aloe, calendula, elderflower, rose and seawhip extracts to help calm the discomfort associated with Rosacea and sensitive skin.",Toners (HYBTG3UPYJGE5UJBURP7XEZD),Toners (HYBTG3UPYJGE5UJBURP7XEZD),,,,,unavailable,Physical good,,,,Y,,,,32.81,,Y,,,,N,,,,,,
OKAQBYQ7A4H6OBMU3RCYAABY,Circadia Amandola Milk Cleanser 6.7 oz,,Regular,,"Skin type: hyperpigmentation and aged skin

This conditioning almond milk cleanser contains Lactic and Mandelic Acids that gently exfoliate, hydrate and brighten damaged skin",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,,N,N,43.00,,Y,,,,N,,,,,,
TTMTZD46GKIQLLOB76HSU3MI,Circadia AquaPorin Hydrating Cream 1.7 oz,,Regular,,"Skin type: Dry, dull, rough, chalky, flaking, mildly irritated.

Hydrate with natural oils to maintain and increase skin moisture. With the most effective hydrating agents, this amazing cream leaves skin feeling soft and healthy.",Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU),Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU),,,,,unavailable,Physical good,,,,Y,,,,72.19,,Y,,,,N,,,,,,
IXSJQGDYO7PTHPFHU23EBMO3,Circadia Blue Bamboo Exfoliator for Body 6.7 oz,,Regular,,"Skin type: All, especially coarse or rough patches

This exotic body scrub lathers into a creamy luxurious foam containing natural blueberry seeds and bamboo to gently exfoliate, remove impurities and cleanse.",Exfoliants (KM3YXNYXVWDIBAXWW772GXF5),Exfoliants (KM3YXNYXVWDIBAXWW772GXF5),,,,,unavailable,Physical good,,,,Y,,,,43.00,,Y,,,,N,,,,,,
UIXKYT7XCBKME2TKKJVTPGOZ,Circadia Blueberry & White Tea Hydrating Mist 4 oz,,Regular,,Hydrate and nourish while protecting skin with a complex of potent antioxidants. Rejuvenate throughout the day with this refreshing mist.,Toners (HYBTG3UPYJGE5UJBURP7XEZD),Toners (HYBTG3UPYJGE5UJBURP7XEZD),,,,,unavailable,Physical good,,,,Y,,,,38.06,,Y,,,,N,,,,,,
BDGX2HJEZRWN2TMUGHM35FP2,Circadia Cleansing Gel with Mandelic Acid 6.7 oz,,Regular,,"Skin type: All skin types, but it is particularly beneficial for individuals with acne-prone skin, and those who have hyperpigmentation concerns.

An active foaming cleanser that brightens and exfoliates while targeting pigmentation, acne, and aging skin. Our powerful alpha-hydroxy-acid and antibacterial properties make the Cleansing Gel with Mandelic Acid the perfect solution for nearly all skin types.",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,,,,43.00,,Y,,,,N,,,,,,
2623RKO7ND7FZVV2N5TIGCD3,Circadia Cleansing Gel with Salicylic Acid 6.7 oz,,Regular,,"Skin type: Grade 3 Acne, blackheads, comodones and blemishes

This light cleansing gel lathers into a creamy foam that deep cleans, while beta-hydroxy salicylic acid helps to soften and exfoliate.",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,,,,43.00,,Y,,,,N,,,,,,
YY5GFHWZ2WET5GOW2HQTA6RK,Circadia Hydralox Facial Oil 0.5oz,,Regular,,"Skin type: Dry, chapped, or wind-burned

Create a supple sheen as you lock in critical moisture and reduce water loss. This power-boosting weapon can be added to other Circadia products to yield tremendous results.",Facial Oil,Facial Oil,,,,,unavailable,Physical good,,,,Y,,N,N,38.06,,Y,,,,N,,,,,,
WG6ENPQDFDWSX23ENXBS45HZ,Circadia Light Day Sunscreen Broad Spectrum SPF 37 – 2 oz,,Regular,,"Skin type: all skin types 

Our environment requires daily protection with new levels of performance. Award winning photo stabilizer Solastay® S1 reduces sensitivity issues often associated with UV absorbers. New age antioxidants Lipochroman-6 (TM) and Preventhelia (TM) prevent damage to DNA proteins caused by UV exposure. This light lotion contains grape stem cell culture extract to enhance photo protection and delay cell senescence. Fast absorbing with an elegant feel, this is designed for daily use.",Sunscreen,Sunscreen,,,,,unavailable,Physical good,,,,N,N,N,N,53.00,,Y,,,,N,,,,,,
BBRUC2VZOPRC3GOHG5PGKXMI,Circadia Lipid Replacing Cleansing Gel 6.7 oz,,Regular,,"Skin type: Most types, especially normal or slightly oily.

This revitalizing cleanser effectively removes dirt, makeup and excess lipids without damaging the skin barrier.",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,,N,N,43.00,,Y,,,,N,,,,,,
YQNSPH7C34RS3Z4Y27UYL4DE,Circadia Micro-Exfoliating Honey Cleanser 6.7 oz,,Regular,,"Skin type: All skin types, especially those that are more oily or require additional exfoliation.

Micro-beads of natural beeswax gently cleanse and exfoliate, while absorbing excess oil. Leaves all skin types feeling fresh and revitalized.",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,,N,N,43.00,,Y,,,,N,,,,,,
54TVX3L6BACGJCUM34BXMWUP,Citrus-C Nourishing Cream 1oz,,Regular,,"<p>Skin type: normal to dry/anti-aging care</p><p><br/></p><p>This robust creamy Vitamin C is hydrating and gentle. The 5% Vitamin C (BVOSC – Tetrahexyldecyl Ascorbate) is a stable oil-soluble form of Vitamin C that offers UV protection, assists with skin lightening, and improves collagen synthesis. The 2% Citrustem™ originates from orange stem cells and will help densify the dermis by improving the extracellular matrix. The white and green tea complexes improve skin immunity and help repair damaged tissues. Stable antioxidants inhibit melanogenesis to reduce pigmentation. Cellynkage™ enhances cell-to-cell communication and enhances the efficacy of Vitamin C. MossCelltec™ improves the skin’s ability to hold moisture as it strengthens skin resiliency.</p><ul><li>Lessens the appearance of wrinkles</li><li>Encourages fibroblast activity</li><li>Brightens and tones the skin</li><li>Antioxidant</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Apply in the morning after toning.</li><li>Apply moisturizer on top.</li></ul><p><br/></p>","Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP), Serums (ZP6APGRP6MVEI6P7WSBTNBQI)",Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP),,,,,visible,Physical good,,,,Y,N,N,Y,48.00,,N,,N,,N,,,,,,
ZH3SVXMZM7EPNDO44EEDDDAF,Clarifying Toner Pads 2oz,,Regular,,"<p>Skin types: oily and acneic</p><p><br/></p><p>Clarifying Toner Pads use purifying active ingredients to relieve breakouts while improving the clarity and quality of the skin.</p><ul><li>Reduces congestion</li><li>Reduces oil production</li><li>Provides antibacterial-like properties</li><li>Soothes cystic breakouts</li><li>Enhances cellular turnover</li></ul><p><br/></p><p>Tips for use: </p><ul><li>For acneic skin, use the Clarifying Toner Pads after cleansing 2 – 3 times per week, and adjust the frequency up or down based on the number of breakouts.</li><li>For oily skin, use the Clarifying Toner Pads daily to dissolve the excess oil. If skin feels dry and flaky, reduce usage to 2 – 3 times per week to keep receiving the benefits without too much drying effect.</li><li>Do not remove the product; allow it to remain on the skin.</li><li>Avoid getting into the eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p>","Exfoliants (KM3YXNYXVWDIBAXWW772GXF5), Exfoliants (755RWOQD2JIY46E6JDU7ZOKG)",Exfoliants (KM3YXNYXVWDIBAXWW772GXF5),Skinscript Clarifying Toner Pads 2oz,,,,visible,Physical good,,,,Y,N,N,Y,22.00,,N,,N,,N,,,,,,
6ID3Y3RX6LOW42BVO32SQYK7,Cucumber Hydration Toner 2oz,,Regular,,<p>Skin type: all skin types</p><p><br/></p><p>The Cucumber Hydration Toner rehydrates the skin while improving cellular functions and absorption of ingredients. The cucumber soothes and cools irritated skin.</p><ul><li>Reduces discomfort and irritation</li><li>Balances surface lipids</li><li>Assists in boosting hydration levels</li><li>Provides probiotic support to the skin’s acid mantle to support acneic skin</li></ul><p><br/></p><p>Tips for use: </p><ul><li>Use morning and evening after cleansing and exfoliating the skin.</li><li>Spritz the toner on the skin or apply it with a cotton round.</li></ul><p><br/></p>,"Toners (HYBTG3UPYJGE5UJBURP7XEZD), Toners (WBPIFAUSNHTVHISR5PHXWJ6W)",Toners (HYBTG3UPYJGE5UJBURP7XEZD),,,,,visible,Physical good,,,,Y,N,N,Y,15.00,,N,,N,,N,,,,,,
WSB4JBQAXRCUEDUT4HONRG5B,Cucumber Hydration Toner 3.3oz,,Regular,,<p>Skin type: all skin types</p><p><br/></p><p>The Cucumber Hydration Toner rehydrates the skin while improving cellular functions and absorption of ingredients. The cucumber soothes and cools irritated skin.</p><ul><li>Reduces discomfort and irritation</li><li>Balances surface lipids</li><li>Assists in boosting hydration levels</li><li>Provides probiotic support to the skin’s acid mantle to support acneic skin</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Use morning and evening after cleansing and exfoliating the skin.</li><li>Spritz the toner on the skin or apply it with a cotton round.</li></ul><p><br/></p>,"Toners (HYBTG3UPYJGE5UJBURP7XEZD), Toners (WBPIFAUSNHTVHISR5PHXWJ6W)",Toners (HYBTG3UPYJGE5UJBURP7XEZD),,,,,visible,Physical good,,,,Y,N,N,Y,24.00,,N,,N,,N,,,,,,
GSTPWHTQTNE6SY7TJJO4QTDW,Facial Membership,,2 Customized Facials,,"Choose between 3 membership packages and save on your monthly treatments. One-hour facials using professional products. The service includes a double cleanse, skin analysis, exfoliation, extractions, facial massage, neck and decolette massage, mask, and finishing products. One free enhancement add on included of your choice.",,,,,,,unavailable,Physical good,,,,Y,N,N,Y,130.00,,N,,,,N,Membership Type,2 Customized Facials,,,,
DFZBGTFU3E563RGTE42FKCYT,Facial Membership,,3 Customized Facials,,,,,,,,,unavailable,Physical good,,,,,,,,180.00,,N,,,,N,Membership Type,3 Customized Facials,,,,
5DA7BAW5YTYSWO2X3EP5COCA,Facial Membership,,4 Customized Facials,,,,,,,,,unavailable,Physical good,,,,,,,,250.00,,N,,,,N,Membership Type,4 Customized Facials,,,,
OGVUASZWND4WN2GIZSLPCWKD,Glycolic Cleanser 2oz,,Regular,,"<p>Skin type: acne, aging</p><p><br/></p><p>The Glycolic Cleanser is a foamy cleanser infused with a combination of alpha hydroxy acids. It renews the skin by removing the uppermost layer of dead skin cells to reveal a bright, smooth skin surface.</p><ul><li>Refines and renews skin</li><li>Lessens the appearance of wrinkles</li><li>Brightens and invigorates skin</li><li>Lessens the appearance of acne scars</li><li>Enhances cellular turnover</li></ul><p><br/></p><p>Tips for use:</p><ul><li>For normal or combination skin with closed comedones: Use the Green Tea Citrus Cleanser morning and the Glycolic Cleanser as a second cleanser every day, once a day, for up to 10 days. Once you have achieved significant results on the closed comedones, back down the usage to 2 – 3 times per week.</li><li>For normal, dry, or aging skin: Use the Pomegranate Antioxidant Cleanser morning and night and the Glycolic Cleanser 2 – 3 times per week to exfoliate.</li><li>Leave the cleanser on the skin for 30 – 45 seconds for best results. Remove completely with water.</li><li>The Glycolic Cleanser is not designed to be a primary cleanser or a makeup remover and should not be used over the eyes.</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p>","Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU), Cleansers (CVZC6M57CY3PFLBKNEXMEGJI)",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,visible,Physical good,,,,Y,N,N,Y,14.00,,N,,N,,N,,,,,,
6K5747QFX4CIZEF7JGFVDGIW,Glycolic Cleanser 6.5oz,,Regular,,"<p>Skin type: acne, aging</p><p><br/></p><p>The Glycolic Cleanser is a foamy cleanser infused with a combination of alpha hydroxy acids. It renews the skin by removing the uppermost layer of dead skin cells to reveal a bright, smooth skin surface.</p><ul><li>Refines and renews skin</li><li>Lessens the appearance of wrinkles</li><li>Brightens and invigorates skin</li><li>Lessens the appearance of acne scars</li><li>Enhances cellular turnover</li></ul><p><br/></p><p>Tips for use:</p><ul><li>For normal or combination skin with closed comedones: Use the Green Tea Citrus Cleanser morning and the Glycolic Cleanser as a second cleanser every day, once a day, for up to 10 days. Once you have achieved significant results on the closed comedones, back down the usage to 2 – 3 times per week.</li><li>For normal, dry, or aging skin: Use the Pomegranate Antioxidant Cleanser morning and night and the Glycolic Cleanser 2 – 3 times per week to exfoliate.</li><li>Leave the cleanser on the skin for 30 – 45 seconds for best results. Remove completely with water.</li><li>The Glycolic Cleanser is not designed to be a primary cleanser or a makeup remover and should not be used over the eyes.</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p>","Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU), Cleansers (CVZC6M57CY3PFLBKNEXMEGJI)",Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,visible,Physical good,,,,Y,N,N,Y,36.00,,N,,N,,N,,,,,,
